titulo,empresa,data,link
Assistente Adm de Compras,Principiu's Rh - Gestão de Pessoas,"
                    05/07/2025",https://empregos.maringa.com/vaga-emprego/461612/assistente-adm-de-compras/maringa/pr
Vendedor(a) de Materiais Elétricos - Loja (2 Vagas),Principiu's Rh - Gestão de Pessoas,"
                    05/07/2025",https://empregos.maringa.com/vaga-emprego/461611/vendedora-de-materiais-eletricos-loja-2-vagas/maringa/pr
Esteticista Nível Superior,Magrass,"
                    05/07/2025",https://empregos.maringa.com/vaga-emprego/371784/esteticista-nivel-superior/maringa/pr
Pedreiros para Empreita,Serra Empreiteira,"
                    05/07/2025",https://empregos.maringa.com/vaga-emprego/461605/pedreiros-para-empreita/maringa/pr
Instrutor / Professor (a) de Musculação - Academia de Musculação,Inova Rh,"
                    05/07/2025",https://empregos.maringa.com/vaga-emprego/461608/instrutor-professor-a-de-musculacao-academia-de-musculacao/maringa/pr
Atendente Sorveteria,Chiquinho Sorvetes Maringá,"
                    05/07/2025",https://empregos.maringa.com/vaga-emprego/461601/atendente-sorveteria/maringa/pr
Vagas de Pedreiros para Empreita,Jociel R Serra Obras,"
                    05/07/2025",https://empregos.maringa.com/vaga-emprego/461603/vagas-de-pedreiros-para-empreita/maringa/pr
Açougueiro,Principiu's Rh - Gestão de Pessoas,"
                    05/07/2025",https://empregos.maringa.com/vaga-emprego/461607/acougueiro/maringa/pr
Vaga Para Motorista de Depósito Material de Construção,Solari Energia Solar,"
                    05/07/2025",https://empregos.maringa.com/vaga-emprego/435044/vaga-para-motorista-de-deposito-material-de-construcao/marialva/pr
Grupo Souza Contabilidade: Contrata - Assistente de Tesouraria Financeira,Grupo Souza Contabilidade,"
                    01/07/2025",
Entregador / Serv. Gerais,Pontual Embalagens,"
                    03/07/2025",
Auxiliar de Cozinha,Almaza Esfihas,"
                    30/06/2025",
Caixa,Bonny Concept Brasil,"
                    05/07/2025",https://empregos.maringa.com/vaga-emprego/461600/caixa/maringa/pr
Gerente Lanchonete,Big Boteco ,"
                    05/07/2025",https://empregos.maringa.com/vaga-emprego/461602/gerente-lanchonete/sarandi/pr
Advocacia Direito Tabalhista,Advocacia Uniat,"
                    05/07/2025",https://empregos.maringa.com/vaga-emprego/461598/advocacia-direito-tabalhista/maringa/pr
